mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	4	8.0	0	0	4/2	21	1	G.I{		G	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	12	3.0	0	0	4/2	21	1	IV}		G	I		IV	IV						}	M	0	0	-1, 3, 0		-1	-1
3	2	15	1.0	3/4	3/4	4/2	21	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
3	2	16	4.0	1	1	4/2	21	1	V|HC		G	I		V	V					HC		M	0	0	1, 5, 2		1	1
3	2	19	0.0	7/4	7/4	4/2	21	1	{		G	I									{		0	0				
4	3	20	12.0	0	0	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
5	4	32	4.0	1	1	4/2	21	1	V/V		G	I		V/V	V				V			M	0	0	2, 6, 3		2	2
6	5	36	4.0	0	0	4/2	21	1	I/V|PAC}		G	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
6	5	39	0.0	3/4	3/4	4/2	21	1	{		G	I									{		0	0				
6	5	40	12.0	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
8	7	52	4.0	0	0	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	56	4.0	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
9	8	60	8.0	0	0	4/2	21	1	I|PAC}		G	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	8	64	0.0	1	1	4/2	21	1	{		G	I									{		0	0				
10	9	68	2.0	0	0	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	9	70	2.0	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
10	9	72	4.0	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	10	76	2.0	0	0	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
11	10	78	1.0	1/2	1/2	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
11	10	79	1.0	3/4	3/4	4/2	21	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	80	1.0	1	1	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	10	81	1.0	5/4	5/4	4/2	21	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
11	10	82	2.0	3/2	3/2	4/2	21	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
12	11	84	4.0	0	0	4/2	21	1	I/ii|PAC}		G	I		I/ii	I				ii	PAC	}	M	0	0	2, 6, 3		2	2
12	11	88	4.0	1	1	4/2	21	1	V{		G	I		V	V						{	M	0	0	1, 5, 2		1	1
13	12	92	10.0	0	0	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
14	13	102	2.0	1/2	1/2	4/2	21	1	IV6		G	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
14	13	104	2.0	1	1	4/2	21	1	V(4)/IV		G	I		V(4)/IV	V			4	IV			M	0	0	0, -1, 1		0	0
14	13	106	2.0	3/2	3/2	4/2	21	1	V/IV		G	I		V/IV	V				IV			M	0	0	0, 4, 1		0	0
15	14	108	8.0	0	0	4/2	21	1	I/IV|PAC}		G	I		I/IV	I				IV	PAC	}	M	0	0	-1, 3, 0		-1	-1
15	14	112	0.0	1	1	4/2	21	1	{		G	I									{		0	0				
16	15	116	4.0	0	0	4/2	21	1	V|HC}		G	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
16	15	120	2.0	1	1	4/2	21	1	I6{		G	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
16	15	122	2.0	3/2	3/2	4/2	21	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	16	124	4.0	0	0	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
17	16	128	8.0	1	1	4/2	21	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
18	17	136	4.0	1	1	4/2	21	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
19	18	140	4.0	0	0	4/2	21	1	i|PAC}	I|PAC}	G	I		i	i					PAC	}	m	0	0	0, -3, 1		0	0
19	18	144	4.0	1	1	4/2	21	1	bVII.IV{		G	bVII		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
20	19	148	2.0	0	0	4/2	21	1	vi6}		G	bVII		vi6	vi		6				}	m	0	0	0, 4, 3		3	0
20	19	150	2.0	1/2	1/2	4/2	21	1	viio6		G	bVII		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
20	19	152	8.0	1	1	4/2	21	1	I|IAC		G	bVII		I	I					IAC		M	0	0	0, 4, 1		0	0
21	20	156	0.0	0	0	4/2	21	1	{		G	bVII									{		0	0				
21	20	160	4.0	1	1	4/2	21	1	V		G	bVII		V	V							M	0	0	1, 5, 2		1	1
22	21	164	8.0	0	0	4/2	21	1	I		G	bVII		I	I							M	0	0	0, 4, 1		0	0
23	22	172	2.0	0	0	4/2	21	1	IV		G	bVII		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	22	174	2.0	1/2	1/2	4/2	21	1	IV6		G	bVII		IV6	IV		6					M	0	0	3, 0, -1		-1	3
23	22	176	1.0	1	1	4/2	21	1	V(4)		G	bVII		V(4)	V			4				M	0	0	1, 0, 2		1	1
23	22	177	3.0	5/4	5/4	4/2	21	1	V		G	bVII		V	V							M	0	0	1, 5, 2		1	1
24	23	180	12.0	0	0	4/2	21	1	I|PAC}		G	bVII		I	I					PAC	}	M	0	0	0, 4, 1		0	0
24	23	182	0.0	1/2	1/2	4/2	21	1	{		G	bVII									{		0	0				
25	24	192	4.0	1	1	4/2	21	1	IV		G	bVII		IV	IV							M	0	0	-1, 3, 0		-1	-1
26	25	196	4.0	0	0	4/2	21	1	vi6}		G	bVII		vi6	vi		6				}	m	0	0	0, 4, 3		3	0
26	25	200	8.0	1	1	4/2	21	1	IV		G	bVII		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	26	204	0.0	0	0	4/2	21	1	{		G	bVII									{		0	0				
27	26	208	14.0	1	1	4/2	21	1	I		G	bVII		I	I							M	0	0	0, 4, 1		0	0
29	28	220	0.0	0	0	4/2	21	1	}		G	bVII									}		0	0				
29	28	222	2.0	1/2	1/2	4/2	21	1	V		G	bVII		V	V							M	0	0	1, 5, 2		1	1
29	28	224	6.0	1	1	4/2	21	1	I|PAC		G	bVII		I	I					PAC		M	0	0	0, 4, 1		0	0
29	28	226	0.0	3/2	3/2	4/2	21	1	{		G	bVII									{		0	0				
30	29	230	2.0	1/2	1/2	4/2	21	1	V/ii	v/ii	G	bVII		V/ii	V				ii			M	0	0	3, 7, 4		3	3
30	29	232	2.0	1	1	4/2	21	1	VIM7/ii		G	bVII		VIM7/ii	VI	M	7		ii			MM7	0	0	-2, 2, -1, 3		-2	-2
