mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	0	0	4/2	2	1	F.I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	1	1	4/2	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	3/2	3/2	4/2	2	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
4	3	0	0	4/2	2	1	V(4)}		F	I		V(4)	V			4			}	M	0	0	1, 0, 2		1	1
4	3	1/2	1/2	4/2	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
4	3	3/4	3/4	4/2	2	1	V(^2)		F	I		V(^2)	V			^2				M	0	0	1, 3, 2		1	1
4	3	1	1	4/2	2	1	V|HC		F	I		V	V					HC		M	0	0	1, 5, 2		1	1
5	4	0	0	4/2	2	1	{		F	I									{		0	0				
6	5	0	0	4/2	2	1	}		F	I									}		0	0				
6	5	1	1	4/2	2	1	I|IAC		F	I		I	I					IAC		M	0	0	0, 4, 1		0	0
7	6	0	0	4/2	2	1	IV{		F	I		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
9	8	0	0	4/2	2	1	IV/IV	bVII}	F	I		IV/IV	IV				IV			M	0	0	-2, 2, -1		-2	-2
9	8	1	1	4/2	2	1	{		F	I									{		0	0				
9	8	3/2	3/2	4/2	2	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
10	9	0	0	4/2	2	1	V(4)		F	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
10	9	1/2	1/2	4/2	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
10	9	1	1	4/2	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
10	9	3/2	3/2	4/2	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	0	0	4/2	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	10	1/2	1/2	4/2	2	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
11	10	1	1	4/2	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
12	11	0	0	4/2	2	1	I|IAC}		F	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
12	11	3/2	3/2	4/2	2	1	I6{		F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
13	12	0	0	4/2	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	12	1/2	1/2	4/2	2	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
13	12	1	1	4/2	2	1	vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
14	13	0	0	4/2	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
14	13	1	1	4/2	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
14	13	3/2	3/2	4/2	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	14	0	0	4/2	2	1	V(4)}		F	I		V(4)	V			4			}	M	0	0	1, 0, 2		1	1
15	14	1/2	1/2	4/2	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
15	14	1	1	4/2	2	1	I|PAC		F	I		I	I					PAC		M	0	0	0, 4, 1		0	0
